"file","category","model","issue","resolution","code_snippet"
"Re_ Go2 EDU depth camera.md","sdk","Go2 EDU","The depth camera on the Unitree GO2 EDU version cannot switch views between the default camera and the depth camera through the standard app interface.","The depth camera is intended for advanced development purposes and is not accessible through the standard app interface. Refer to the official documentation for guidance and examples for development.","Odometer Service Documentation"
"Re_ Go2 EDU problem.(1).md","hardware","Go2 EDU","客户询问问题是否来自 Go2 EDU 机器人本身，还是来自于 docking station 的微电脑损坏。","建议客户使用手机应用连接 Go2 EDU 进行确认。如果问题确实来自机器人本身，将提供新的主板供客户更换。","tutorial video"
"Re_ Go2 EDU – XT16 not reachable over Ethernet.md","sensor","Go2 EDU","The XT16 LiDAR is not reachable over Ethernet, and the user suspects it might be due to damage to the LiDAR itself.","Check the IP of the LiDAR using network tools like Wireshark. If the issue persists, contact the support of Hesai LiDAR officials.","wireshark"
"Re_ Go2 Edu Edition.md","hardware","Go2","询问关于Go2的电源信息，包括稳态最大电流。","Go2的电源为28.8伏特直流，稳态最大电流为10安培。如果使用Nvidia orin dock，稳态最大电流为12伏3安培。","https://support.unitree.com/home/en/developer/Payload https://support.unitree.com/home/en/developer/about_Go2"
"Re_ Go2 Pro.md","sensor","L2 LiDAR","用户报告 L2 LiDAR 的点云显示异常。","建议用户先用湿纸巾或酒精清洁 LiDAR 的表面，然后在应用程序中检查点云是否正常显示。如果问题仍然存在，请提供截图以便进一步分析。",""
"Re_ Go2 falling or almost falling over after handshake..md","control","Go2","The Go2 robot is falling or almost falling over after handshake.","Ensure to perform Joint calibration and IMU calibration of the robot. After a long period of use, it is essential to re-calibrate. After calibration, update the firmware to the latest version, as a new firmware was published recently.",""
"Re_ Go2 simulation.md","control","Go2","客户询问关于 Go2 的内部仿真控制器，特别是如何将高层运动命令映射到低层电机控制。","Unitree 官方不提供内部仿真控制器，建议使用开源控制器作为参考，例如 'Walk These Ways' 项目。","https://github.com/Teddy-Liao/walk-these-ways-go2"
"Re_ Go2_Go2W SSH Instructions.md","sdk","Go2","无法访问 Unitree 机器人的 PC1 板，尽管可以 ping 通，但无法通过 SSH 连接。","需要使用基于 DDS 的 SDK 来与 PC1 API 进行通信。",""
"Re_ Inquiry About Repair Options for Unitree Go1 Edu USB Ports.md","hardware","Go1 EDU","USB port issue on the Go1 Edu robot.","You can either purchase a USB accessory and solder it yourself, or if the robot is under warranty, we can replace the mainboard for free. If it's out of warranty, you can purchase a new mainboard.",""
"Re_ Issue Related to GO2’s SDK.md","sdk","Go2","用户未正确安装 Go2 的 SDK，可能忽略了文档中的细节，尤其是关于通信的包。","建议重新安装 SDK，并确保正确配置网络设置，包括 IP、端口等。同时，确保关闭 VPN。",""
"Re_ Issue with Unitree Go2 Robot.md","hardware","Go2","The Unitree Go2 robot is experiencing functionality issues.","Shutdown and restart the robot, ensuring that the leg motors are correctly connected. If the issue persists, consider upgrading the firmware using the provided tutorial.","Firmware Upgrade Tutorial"
"Re_ Issues with Go2's OrinNX Computer.md","hardware","Go2","There may be a hardware issue with the OrinNX computer on the Go2 robot.","If it's a hardware problem, a new expansion dock will be sent.","Check for software issues using the diagnostic document provided."
"Re_ Labels for controllers.md","other","G1","请求关于控制器标签的相关信息。","提供了 G1 远程控制的支持页面链接，并附上了 Go2 的教程。","https://support.unitree.com/home/en/G1_developer/remote_control"
"Re_ Issues related to Unitree Go1.md","control","Go1","用户无法准确定位 Go1 机器人的控制问题，可能与遥控器或连接有关。","建议下载 Go1 应用并尝试连接，如果连接成功，检查是否可以正常控制机器人。应用程序应显示电机状态，帮助检测任何断开连接的问题。对于遥控器，建议使用纸夹或笔尖按下遥控器背面的重置孔，这可以解决大多数遥控器问题。",""
"Re_ Issues with Unitree Go2 EDU Robot at Oakland University.md","environment","Go2 EDU","The docking station of the Go2 EDU robot cannot connect to WiFi directly, which affects internet access for OTA updates and app control.","It is recommended to purchase a driver-free WiFi adapter to enable internet access for the docking station.",""
"Re_ Issues with Unitree Go2 EDU Robot at Oakland University.md","sensor","L1 LiDAR","There is a need to convert PCD files outputted by the L1 LiDAR to E57 format.","You may write a Python script to convert PCD files to E57 format.",""
"Re_ Issues with Unitree Go2 EDU Robot at Oakland University.md","sensor","null","Accessing HESAI LiDAR data for SLAM purposes requires guidance.","Refer to the 'SLAM and Navigation Services Interface' section in the official documentation for examples on accessing HESAI LiDAR data. Additional instructions will be provided in a technical document.",""
"Re_ Questions about Go2 EDU.md","sdk","Go2 EDU","关于Go2 EDU的系统配置和SDK安装的问题。","可以配置系统IP并安装SDK，具体的IP地址需要设置为<IP>。",""
"Re_ Questions about Go2 EDU.md","other","D1","关于Unitree D1机械臂的帮助请求。","提供了Unitree D1机械臂的支持链接，供参考。","https://support.unitree.com/home/en/developer/Payload"
"Re_ RE_ Client Support Question - K1 Arm Integration on Go2.md","control","Go2","需要配置 K1 手臂的负载质量。","请将 payload_mass 配置为 30.0。","payload_mass = 30.0"
"Re_ Please guide me the procedure to fix d1 servo arm for GO2.md","hardware","GO2","The D1 robot arm has design defects leading to frequent after-sales cases where the arm needs to be replaced.","If the issue is confirmed to be within the warranty period, after-sales service is free. The customer should provide video or screenshots to describe the damage for assessment.","https://support.unitree.com/home/en/developer/D1Arm_services"
"Re_ RE_ Couple question(2).md","hardware","","The issue seems to be related to the board or the batteries inside the controller, rather than the USB-C charger.","The problem is identified as being with the board or the batteries inside the controller.",""
"Re_ Questions About SDK, Debug Mode, and Charging.md","sdk","","用户询问如何使用电源为机器人充电，并提到不应使用该端口驱动电机，因为电流限制为10A。","建议使用58V 10A的电源进行充电，但不建议通过该端口驱动电机。",""
"Re_ Questions About SDK, Debug Mode, and Charging.md","other","","用户询问是否可以提供额外的技术支持以帮助开发运动。","建议用户自行开发运动，并提供了一个GitHub链接作为参考，但不提供额外的技术支持。","https://github.com/roboterax/humanoid-gym"
"Re_ Questions About SDK, Debug Mode, and Charging.md","other","","用户询问关于调试模式的具体信息。","请求用户提供更多关于调试模式的细节、截图或链接，以便更好地理解其需求。",""
"Re_ RE_ Explanation of AI Mode Free(1).md","control","Go2","The adaptability of the Go2 Pro's advanced mode isn't strong enough, leading to a need for training similar movements using AI-based gaits.","Gradually replace the advanced mode with AI-based gaits. The advanced mode will be phased out entirely once integrated motion control is completed by the end of the month.",""
"Re_ RE_ Go2 Upgrade Problem.md","environment","Go2","用户在进行 Go2 的 OTA 更新时遇到问题。","确保 iOS 应用是最新版本，通过删除并重新从应用商店安装来更新。同时，使用 Wi-Fi 模式进行 OTA 更新，避免使用 AP 模式。确保连接的 Wi-Fi 没有防火墙限制，建议使用个人移动热点或家庭 Wi-Fi，避免使用公共或大学 Wi-Fi 网络。",""
"Re_ RE_ GO2 board Jetson ORIN(1).md","hardware","Go2","The reset has caused a configuration issue with the system.","To resolve the issue, reflash the system image on the expansion dock by following these steps: Remove the internal storage from the expansion dock, connect it to a Linux PC using a card reader, download the new system image from the official documentation, flash the image onto the storage device, and then reinstall the storage back into the expansion dock.",""
"Re_ RE_ LSU PO 253844(4).md","hardware","","用户无法确定问题所在，怀疑与机器人臂和 docking station 的电源和网线连接有关。","建议用户仔细检查所有电缆连接，特别是机器人臂与 docking station 的电源和以太网电缆。如果问题仍然存在，建议升级 docking station。",""
"Re_ RE_ Support - Go 2 pro - start up.md","control","Go2","用户询问如何启动 Go 2 pro 机器人。","按下启动按钮，当看到绿色指示灯时，立即长按该按钮。",""
"Re_ RE_ Unitree Go 2 issues after arm installation and update(1).md","hardware","Go2","The issue might be due to incorrect zero configuration after arm installation, which could require reassembly.","Reassembly may be necessary due to the incorrect zero configuration. Currently, there isn't an assembly guide available, so you may need to attempt the reassembly yourself.",""
"Re_ RE_ Unitree Go 2 issues after arm installation and update.md","control","Go2","After arm installation and update, there are issues with the robot's operation.","Check the app and switch off 'Dynamic' mode to resolve the issues.",""
"Re_ Please Help.md","control","G1","The operation control keys have undergone major changes, requiring a long press of key combinations for 2 seconds in standing state.","New walking and running operation control has been introduced (R2 + A). Refer to the Document Center for detailed operation instructions.","https://support.unitree.com/home/en/G1_developer/remote_control"
"Re_ Please Help.md","control","G1","Different state mode LED light color displays have been defined.","The LED light colors indicate different modes: Normal operation (blue), Damping mode (orange), Seating mode (green), Drop mode (green), Debugging mode (yellow), Zero torque mode (purple), Preparation mode (dark blue).",""
"Re_ Please Help.md","control","G1","New single limb calibration for motor joints has been introduced.","Users should utilize the new single limb calibration feature for improved control.",""
"Re_ Please Help.md","control","G1","The APP now includes a new Go interface for remote control and upper limb interactive actions.","Users can control equipment and perform interactive actions through the new Go interface in the APP.",""
"Re_ Please Help.md","other","G1","Voice assistant function has been optimized, and the APP terminal now supports GPT dialogue.","The APP terminal has been updated to enhance voice assistant functionality and support GPT dialogue.",""
"Re_ Please Help.md","other","G1","Compatibility with different Dex3-1 dexterous hand hardware types has been added.","Users should set the hardware type in the APP terminal for early factory equipment upgrades.",""
"Re_ Please Help.md","other","G1","Known defects have been repaired in the new version of the remote control sticker.","The new version of the remote control sticker is applicable to G1 software version ≥ 1.4.0.",""
"Re_ RE_ Unitree GO2 EDU firmware.md","environment","Go2 EDU","在进行OTA更新时，如何正确连接手机应用与机器人。","使用WIFI模式连接，以确保机器人能够访问互联网。避免使用学校的WIFI，因为防火墙可能会阻止某些连接请求。",""
"Re_ RE_ Unitree Robot official website consultation reply--Museum of Science, Boston(1).md","hardware","","客户怀疑机器人腿部电机的电缆和插座连接不良。","建议检查腿部电机的插座连接情况。",""
"Re_ RE_ Unitree Robotics enquiry reply-GE Aerospace Research(1).md","other","Go2","用户遇到遥控器问题，寻求解决方案。","建议使用纸夹按下遥控器背面的重置按钮。","https://global-serviceconsole.unitree.com/#/help/61-62"
"Re_ RE_ WiFi Adapter Support Inquiry(1).md","environment","Go2","The Go2 dog body computer's IP is <IP>, but this PC is not accessible. The internal WiFi function of Go2 is only used for communication with the application, which is not open to customers.","Please use a WiFi adapter with the docking station for further development.",""
"Re_ RE_ [EXTERNAL] Re_ Unitree H1 General safety(1).md","hardware","H1","The soft emergency stop (e-stop) function cannot be utilized on the H1 motherboard, despite the hardware interface being inherited from the B2 robot's motherboard.","The H1 is unable to use the e-stop function, and there are currently no R&D resources to explore this functionality further. Wiring information related to the B2 robot's e-stop feature can be provided for reference, but it is not compatible with the H1.",""
"Re_ RE_ [EXTERNAL] Unitree Robotics- Humanoid Robot Enquiry Reply(1).md","control","B2","The app for controlling the B2 and H1 robots is currently not able to control the H1. There are concerns about emergency power cuts causing damage to the robot.","For emergency stops, it is recommended to use a soft stop instead of a hard stop. Users can develop their own soft stop interface using PC2 and the SDK. Currently, the batteries must be removed for charging.",""
"Re_ RE_ [EXTERNAL] Unitree Robotics- Humanoid Robot Enquiry Reply(1).md","other","B2","The jogging and backflip codes are currently unavailable due to instability in these functions.","Unfortunately, we cannot provide the jogging and backflip codes at the moment as these functions are currently unstable.",""
"Re_ RE_ [EXTERNAL] Re_ Unitree H1 General safety(2).md","hardware","H1","The anchor on the H1 is screwed into the aluminum frame and can handle loads up to 80KG. Concerns were raised about handling higher loads.","It is recommended to upgrade the nylon straps to a higher-load rope, such as a climbing rope, to prevent failure under overload conditions.",""
"Re_ RE_ [EXTERNAL] Re_ Unitree H1 General safety(2).md","hardware","H1","The H1 does not support a soft emergency stop, and any damage from unauthorized modifications for emergency stop functionality is not covered under warranty.","Confirm that the H1 lacks a soft e-stop feature and inform users about warranty implications for unauthorized modifications.",""
"Re_ RE_ [EXTERNAL] Re_ Unitree H1 General safety(2).md","other","G1","Inquiry about the current status of developments for an emergency stop solution for the H1 and the G1 robot.","No updates are available at the moment, but further consultation with the research team will occur in the next meeting.",""
"Re_ RE_ [RobotShop] Re_ Garantia Pedido EU29992 - 1359460(3).md","sensor","L1 LiDAR","LiDAR sensors typically have a small blind spot in the center due to their design.","This blind spot results from the placement of the emitting and receiving modules, which have physical limitations in covering the exact center.",""
"Re_ Re_ AP and WiFi Mode not working anymore.md","environment","Go2","The AP and WiFi mode are not working anymore due to a system bug.","The bug has been fixed. Ensure that both the app and the robot are updated to the latest version, and then attempt to connect. Also, try using different devices for connection.",""
"Re_ ROS Version Compatibility for Unitree Go2 EDU.md","sdk","Go2 EDU","如何使用 ROS 控制 Unitree Go2 EDU 机器人的执行器。","请参考我们的文档中的“高运动控制”和“ROS2 服务接口”部分。我们还提供了许多示例程序。建议下载我们的 SDK，并参考我们网站上的技术文档以获取更多信息。推荐使用 Ubuntu 20.04，并相应选择 ROS 版本。",""
"Re_ RE：Calibration question.md","hardware","","在机器人狗经过一段时间的密集使用后，电机会发出异常噪音或过热，需要进行重新校准。同时，替换腿部配件时，编码器可能会出现混乱，因此也需要进行校准。","在电机出现异常噪音或过热的情况下，建议进行重新校准。此外，替换腿部配件后，需确保编码器的正确校准。",""
"Re_ Re_ About GO2 and A1 control problems.md","control","Go2","The hip motor outputs are showing opposite signs, although the absolute values are correct.","Adjust the signs of the hip angles according to the requirements of your project.",""
"Re_ Re_ About 4D LiDAR L1 Question(2).md","hardware","L1 LiDAR","The LiDAR is not functioning properly. The customer is requesting to check the power cable and provide a video of the LiDAR spinning status and the power cable.","Check the power cable connection to ensure it is secure and functioning. Request a video of the LiDAR spinning status and the power cable for further diagnosis.",""
"Re_ Re_ AutoReply_ Re_ Re_ Unitree_aftersale_support(2).md","hardware","null","用户询问关于充电站的购买情况，并提到当前软件无法实现自动充电功能。","充电站可以与机器人配合使用，但目前软件版本不支持自动充电功能。",""
"Re_ Re_ AutoReply_ Re_ Re_ Unitree_aftersale_support(1).md","hardware","Go2","用户报告 Go2 的扬声器存在失真现象。","经过与产品经理沟通，确认该失真现象是正常的。建议用户自行购买更高质量的扬声器。虽然可以根据保修发送新的扬声器，但性能将保持不变。","无"
"Re_ Re_ AutoReply_ Re_ Re_ Unitree_aftersale_support(5).md","sensor","L1 LiDAR","客户询问是否为 L1 LiDAR，并请求提供 LiDAR 读数的截图。","客户表示没有软件来修复 LiDAR，只能更换新的 LiDAR。",""
"Re_ Re_ Assistance with D1 Arm Connection and IAP Update Issue.md","sdk","Go2","客户询问关于 D1 Arm 的连接和 IAP 更新问题，提到需要在其笔记本电脑或 Go2 的 docking station 上安装 sdk2。","确保在笔记本电脑或 docking station 上正确安装并运行 sdk2，然后再讨论 D1 sdk 的相关问题。","https://support.unitree.com/home/en/developer/Quick_start"
"Re_ Re_ BCIT Go2-w(3).md","hardware","Go2-W","使用重置按钮可能会导致机器人系统完全损坏。","请勿使用重置按钮。若要恢复对接站，请参考提供的链接。","https://support.unitree.com/home/en/developer/module_update"
"Re_ Re_ Bug report of robot dog GO2 Air(1).md","hardware","Go2","The mainboard of Go2 needs to be replaced.","Fill out the provided document with your order ID and the dog's number to check the warranty period. A tutorial video is available for guidance on how to replace the main board.","https://onedrive.live.com/?authkey=%21AKVasQNzFkMYjdA&cid=CDE1BA91EFBCF992&id=CDE1BA91EFBCF992%214792&parId=CDE1BA91EFBCF992%214787&o=OneUp"
"Re_ Re_ Bug report of robot dog GO2 Air.md","hardware","GO2 Air","用户报告了与 GO2 Air 机器狗相关的故障，建议检查电机状态和电池 LED 指示灯。","首先在应用程序中检查电机状态，路径为 app -> device -> Data。建议拍摄视频或截图以记录应用页面。此外，检查电池上的闪烁 LED 的颜色和频率。",""
"Re_ Re_ BCIT Go2-w(1).md","other","Go2-W","用户询问关于不同模式（基础、先进和AI模式）的切换功能，发现该功能在Go2-W上不可用。","告知用户该切换功能仅在Go2上可用，Go2-W不支持此功能。建议用户提供视频或截图以便进一步诊断，并提醒用户遵循网站上的校准视频进行操作。",""
"Re_ Re_ BCIT Go2-w(1).md","sensor","Go2-W","用户可能遇到与LiDAR相关的问题，询问LiDAR是否开启。","确认LiDAR是否开启，并提醒用户Go2-W目前不支持障碍物避免功能。",""
"Re_ Re_ Business Account(8).md","sdk","G1","请求更新 unitree-explore 应用到最新版本，以便能够自行注册和更新 G1 机器人的软件。","请更新 unitree-explore 应用到最新版本，然后可以自行注册并更新软件。",""
